experiment,test_mae,test_rmse,avg_val_mae,avg_val_rmse,avg_energy_proxy,avg_avg_comm_ratio,avg_round_secs,avg_cpu_percent,avg_mem_mb,%_MAE_vs_FedAvg,%_MAE_vs_Centralized,%_Energy_vs_FedAvg
Centralized,0.414064,0.595235,0.4064112,0.5828335,0.047271,1.0,0.3291,14.190000000000001,327.222,-16.148277153937286,0.0,-80.25017860947821
FedAvg,0.493805,0.657825,0.49313599999999996,0.6509828,0.23934899999999998,1.0,1.4575999999999998,16.48,365.022,0.0,19.258134008269256,0.0
AEFL Framework,0.515887,0.671956,0.49816762499999995,0.6497674499999999,0.15013455,0.20859,1.297375,19.7775,400.40275,4.471805672279541,24.59112600950578,-37.27379266259729
